Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

323;Carnes e derivados;Apresuntado;1,9;2,6;1,1;;0,07;1,23;0,61;;;;;0,13;2,39;0,04;1,00;0,04;;;;;;
324;Carnes e derivados;Caldo de carne, tablete;7,8;2,5;0,1;;0,14;3,91;3,64;0,05;0,02;;;0,03;2,47;;0,13;;;;;;5,32;0,10
325;Carnes e derivados;Caldo de galinha, tablete;9,4;3,2;0,2;0,09;0,12;3,98;5,07;0,07;0,05;0,02;;0,04;3,14; ;0,25;;;;;;6,19;0,11
326;Carnes e derivados;Carne, bovina, acém, moído, cozido;4,8;4,6;0,3;;0,27;2,50;1,83;0,01;0,01;;;0,33;4,17;0,03;0,22;0,02;0,02;;;;0,22;0,02
327;Carnes e derivados;Carne, bovina, acém, moído, cru;2,7;2,4;0,1;;0,14;1,35;1,09;0,01;0,01;;;0,18;2,22;0,01;0,12;0,01;0,01;;;;0,10;
328;Carnes e derivados;Carne, bovina, acém, sem gordura, cozido;5,5;3,7;0,3;0,01;0,36;2,68;2,16;0,01;0,01;;;0,33;3,32;0,04;0,22;0,03;0,01;;;;0,28;0,02
329;Carnes e derivados;Carne, bovina, acém, sem gordura, cru;2,8;2,3;0,2;;0,14;1,33;1,19;0,01;;;;0,16;2,12;0,01;0,14;0,02;0,02;0,01;;;0,17;0,02
330;Carnes e derivados;Carne, bovina, almôndegas, cruas;3,9;3,5;0,9;0,01;0,25;2,10;1,42;0,02;0,02;;;0,29;3,22;0,02;0,81;0,09;0,02;;;;0,25;0,11
331;Carnes e derivados;Carne, bovina, almôndegas, fritas;4,2;5,0;5,5;;0,17;2,47;1,40;0,05;0,06;0,02;0,05;0,27;4,59;0,05;4,89;0,52;0,03;;;;0,17;0,05
332;Carnes e derivados;Carne, bovina, bucho, cozido;2,4;1,4;0,1;;0,11;1,08;1,10;0,01;;0,01;;0,09;1,29;;0,07;0,01;0,01;;;;0,13;0,01
