Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

557;Leguminosas e derivados;Amendoim, grão, cru;8,7;17,2;16,2;;;4,85;1,21;0,56;1,36;0,66;;0,03;16,67;0,45;16,17;0,04;;;;;;
558;Leguminosas e derivados;Amendoim, torrado, salgado;9,7;29,1;14,2;;0,04;5,28;1,28;0,63;1,52;0,94;;;28,15;0,79;14,18;0,06;;;;;;
559;Leguminosas e derivados;Ervilha, em vagem;Tr;0,1;0,3;;Tr;;0,02;Tr;Tr;0,01;;Tr;0,08;Tr;0,27;0,04;;;;;;
560;Leguminosas e derivados;Ervilha, enlatada, drenada;0,1;0,1;0,2;;Tr;0,06;0,02;Tr;Tr;Tr;;;0,10;Tr;0,15;0,02;;;;;;
561;Leguminosas e derivados;Feijão, carioca, cozido;0,1;0,1;0,3;;;0,11;0,02;Tr;Tr;0,01;;Tr;0,08; ;0,16;0,14;;;;;;
562;Leguminosas e derivados;Feijão, carioca, cru;0,2;0,1;0,9;;;0,14;0,03;Tr;0,01;0,01;;;0,11;;0,40;0,49;;;;;;
563;Leguminosas e derivados;Feijão, fradinho, cozido;0,2;0,1;0,3;;Tr;0,18;0,03;0,01;0,02;0,01;;Tr;0,05;Tr;0,21;0,10;;;;;;
564;Leguminosas e derivados;Feijão, fradinho, cru;0,7;0,2;0,9;Tr;Tr;0,50;0,08;0,02;0,04;0,03;;;0,15;0,01;0,58;0,28;;;;;;
565;Leguminosas e derivados;Feijão, jalo, cozido;0,1;0,1;0,3;;Tr;0,10;0,01;Tr;Tr;0,01;;Tr;0,06;;0,11;0,20;;;;;;
566;Leguminosas e derivados;Feijão, jalo, cru;0,3;0,2;0,6;;Tr;0,25;0,03;Tr;0,01;0,01;;Tr;0,15;;0,23;0,41;;;;;;
567;Leguminosas e derivados;Feijão, preto, cozido;0,1;0,1;0,3;;;0,11;0,02;Tr;0,01;0,01;;;0,09;;0,16;0,11;;;;;;
568;Leguminosas e derivados;Feijão, preto, cru;0,2;0,1;0,8;;Tr;0,15;0,03;0,01;0,01;0,01;Tr;Tr;0,13;;0,38;0,47;;;;;;
569;Leguminosas e derivados;Feijão, rajado, cozido;0,1;Tr;0,2;;Tr;0,10;0,02;Tr;Tr;Tr;;Tr;0,03;;0,09;0,13;;;;;;
570;Leguminosas e derivados;Feijão, rajado, cru;0,4;0,1;0,8;;Tr;0,30;0,04;0,01;0,01;0,01;;Tr;0,14;;0,29;0,46;;;;;;
571;Leguminosas e derivados;Feijão, rosinha, cozido;0,2;Tr;0,2;;Tr;0,12;0,02;0,01;0,02;0,01;;Tr;0,04;Tr;0,16;0,07;;;;;;
572;Leguminosas e derivados;Feijão, rosinha, cru;0,6;0,1;0,7;;Tr;0,28;0,05;0,01;0,03;0,02;;;0,09;0,01;0,33;0,14;;;;;;
573;Leguminosas e derivados;Feijão, roxo, cozido;0,1;0,1;0,3;;Tr;0,10;0,01;Tr;Tr;Tr;;Tr;0,06;Tr;0,14;0,19;;;;;;
574;Leguminosas e derivados;Feijão, roxo, cru;0,3;0,2;0,8;;Tr;0,27;0,03;Tr;0,01;0,01;;Tr;0,16;;0,34;0,46;;;;;;
575;Leguminosas e derivados;Grão-de-bico, cru;0,9;1,4;2,8;;0,01;0,57;0,20;0,05;0,02;0,01;;0,01;1,42;0,02;2,71;0,13;;;;;;
576;Leguminosas e derivados;Guandu, cru;0,6;0,2;0,9;;Tr;0,44;0,08;0,02;0,02;0,02;;Tr;0,13;Tr;0,86;0,06;;;;;Tr;
577;Leguminosas e derivados;Lentilha, cozida;0,1;0,1;0,3;;Tr;0,08;0,01;Tr;Tr;Tr;;Tr;0,14;Tr;0,21;0,04;;;;;;
578;Leguminosas e derivados;Lentilha, crua;0,1;0,2;0,4;;0,01;0,10;0,01;0,01;Tr;Tr;Tr;Tr;0,16;0,01;0,33;0,09;;;;;;
579;Leguminosas e derivados;Paçoca, amendoim;4,1;10,0;7,3;;;2,24;0,56;0,27;0,65;0,34;;0,01;9,73;0,26;7,25;0,02;;;;;;
580;Leguminosas e derivados;Pé-de-moleque, amendoim;5,1;14,4;8,3;;;2,70;0,64;0,35;0,84;0,51;;0,02;13,91;0,41;8,25;;;;;;;
582;Leguminosas e derivados;Soja, extrato solúvel, natural, fluido;0,2;0,3;0,6;;Tr;0,12;0,05;Tr;0,01;Tr;;Tr;0,25;0,01;0,58;0,06;;;;;;0,01
583;Leguminosas e derivados;Soja, extrato solúvel, pó;3,3;6,4;12,9;;0,02;2,53;0,57;0,06;0,09;0,03;;0,02;6,30;0,05;11,67;1,23;;;;;;
584;Leguminosas e derivados;Soja, queijo (tofu);0,4;0,5;1,7;;0,01;0,27;0,10;0,01;0,01;Tr;;Tr;0,51;Tr;1,48;0,20;;;;;;
585;Leguminosas e derivados;Tremoço, cru;1,2;5,4;1,7;;;0,61;0,19;0,10;0,26;0,05;;0,02;4,89;0,33;1,08;0,57;;;;;;
586;Leguminosas e derivados;Tremoço, em conserva;0,4;1,9;0,6;;;0,20;0,06;0,03;0,09;0,02;;Tr;1,82;0,12;0,40;0,22;;;;;;
