Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

446;Leite e derivados;Bebida láctea, pêssego;1,1;0,6;Tr;0,05;0,19;0,54;0,25;Tr;Tr;;0,01;0,02;0,53;0,01;0,03;0,02;Tr;;;;0,06;Tr
447;Leite e derivados;Creme de Leite;11,8;5,1;0,5;0,49;1,91;5,58;2,38;0,04;;;0,18;0,36;4,50;;0,33;0,07;;;;;0,63;
448;Leite e derivados;Iogurte, natural;1,8;0,9;0,1;0,07;0,30;0,91;0,40;0,01;Tr;Tr;0,02;0,04;0,83;0,01;0,06;0,03;Tr;;Tr;Tr;;
449;Leite e derivados;Iogurte, natural, desnatado;0,2;0,1; ;0,01;0,03;0,10;0,05;;;;; ;0,09; ;Tr;;;;;;0,01;
451;Leite e derivados;Iogurte, sabor morango;1,4;0,7;0,1;0,07;0,26;0,70;0,29;Tr;;;0,01;0,03;0,62;Tr;0,05;0,02;Tr;;Tr;Tr;;
452;Leite e derivados;Iogurte, sabor pêssego;1,4;0,6;0,1;0,06;0,25;0,70;0,29;Tr;Tr;;0,01;0,03;0,59;Tr;0,04;0,02;Tr;;;;0,06;Tr
453;Leite e derivados;Leite, condensado;4,2;1,7;0,2;0,17;0,73;2,10;0,82;0,01;;;;0,14;1,47;0,02;0,10;0,04;;;;;0,20;0,03
454;Leite e derivados;Leite, de cabra;2,4;0,8;0,1;0,10;0,29;1,00;0,60;0,01;Tr;;;0,03;0,79; ;0,11;0,01;0,01;;;;0,10;0,02
455;Leite e derivados;Leite, de vaca, achocolatado;1,1;0,6;0,1;0,03;0,14;0,53;0,29;0,01;Tr;Tr;0,01;0,03;0,56;Tr;0,11;0,01;Tr;;;;0,19;0,03
456;Leite e derivados;Leite, de vaca, desnatado, pó;0,6;0,2;Tr;0,02;0,09;0,29;0,12;Tr;0,01;Tr;0,01;0,02;0,20;;0,03;Tr;Tr;;;;0,02;Tr
458;Leite e derivados;Leite, de vaca, integral;1,4;0,7;0,1;0,06;0,25;0,71;0,29;;; ;0,01;0,03;0,65;;0,04;0,02;;;Tr;Tr;;
459;Leite e derivados;Leite, de vaca, integral, pó;16,3;7,1;0,5;0,58;2,62;8,11;3,48;0,05;;0,03;0,15;0,56;6,25;0,05;0,41;0,10;;;;;0,84;0,10
461;Leite e derivados;Queijo, minas, frescal;11,4;5,8;0,4;0,41;1,73;5,78;2,53;0,04;0,02;0,02;0,16;0,39;5,14;0,04;0,28;0,06;0,02;;;;0,54;0,12
462;Leite e derivados;Queijo, minas, meia cura;13,2;5,6;0,3;0,55;2,13;6,15;2,59;0,05;;;0,23;0,46;4,82;;0,24;0,10;;;;;0,99;
463;Leite e derivados;Queijo, mozarela;14,2;6,0;0,5;0,61;2,37;6,66;3,02;;;;0,22;0,43;5,22;;0,31;0,08;;;;;0,86;
464;Leite e derivados;Queijo, parmesão;19,7;8,7;0,4;0,70;3,26;10,07;4,24;0,06;0,03;0,03;0,32;0,63;7,67;0,03;0,29;0,11;0,03;;;;1,01;0,16
465;Leite e derivados;Queijo, pasteurizado;15,9;7,3;0,4;0,58;2,58;8,05;3,38;0,05;;;0,23;0,49;6,45;0,05;0,33;0,08;;;;;0,85;0,18
466;Leite e derivados;Queijo, petit suisse, morango;1,6;0,8;Tr;0,05;0,23;0,81;0,40;0,01;;;0,02;0,05;0,76; ;0,04;0,01;;;;;0,09;
467;Leite e derivados;Queijo, prato;16,3;6,8;0,5;0,71;2,67;7,59;3,16;;;;0,27;0,51;5,91;;0,42;0,11;;;;;0,87;
468;Leite e derivados;Queijo, requeijão, cremoso;13,7;6,4;0,3;0,52;2,26;7,16;2,72;0,04;0,04;0,02;0,24;0,50;5,54;0,04;0,24;0,07;;;;;0,55;0,11
469;Leite e derivados;Queijo, ricota;4,5;2,4;0,2;0,15;0,66;2,28;1,06;0,02;0,02;0,02;0,06;0,15;2,16;0,02;0,14;0,02;0,01;;;;0,21;0,04
