Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

587;Nozes e sementes;Amêndoa, torrada, salgada;4,8;32,3;16,2;;0,04;3,91;0,77;0,04;0,02;;;0,22;31,95;0,03;16,17;0,03;;;;;0,10;0,02
588;Nozes e sementes;Castanha-de-caju, torrada, salgada;7,7;26,5;8,1;;;3,95;3,42;0,23;0,06;0,06;;0,13;26,27;0,08;8,00;0,08;;;;;0,11;
589;Nozes e sementes;Castanha-do-Brasil, crua;15,3;27,4;21,0;;0,04;0,04;6,14;0,16;0,03;;;0,18;27,14;0,04;20,97;0,04;;;;;;
590;Nozes e sementes;Coco, cru;30,0;1,5;0,3;15,37;6,12;2,74;0,97;;;;;;1,47;;0,32;;;;;;;
591;Nozes e sementes;Coco, verde, cru;3,1;1,1;0,3;1,24;0,80;0,77;0,14;Tr;Tr;0,01;;Tr;1,15;Tr;0,28;;;;;;;
593;Nozes e sementes;Gergelim, semente;7,8;19,9;22,5;;0,03;4,86;2,58;0,26;;0,04;;0,07;19,72;0,09;22,39;0,16;;;;;;
594;Nozes e sementes;Linhaça, semente;4,2;7,1;25,3;;0,03;2,49;1,62;0,06;;0,04;;0,03;7,06;0,04;5,42;19,81;;;;;;
595;Nozes e sementes;Pinhão, cozido;0,3;0,1;0,2;;;0,18;0,04;0,03;0,02;;;;0,09;;0,22;;;;;;;
596;Nozes e sementes;Pupunha, cozida;3,1;6,8;0,4;;;2,77;0,26;0,03;;;;0,32;6,45;0,01;0,28;0,08;;;;;;
597;Nozes e sementes;Noz, crua;5,6;8,7;44,1;;;4,26;1,34;;;;;;8,66;0,09;35,30;8,82;;;;;;
