Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

525;Alimentos preparados;Acarajé;9,1;7,8;2,1;0,10;0,16;7,71;1,05;0,07;0,02;;;;7,81;;2,01;0,12;;;;;;
526;Alimentos preparados;Arroz carreteiro;3,2;3,0;0,2;;0,19;1,61;1,29;0,01;;;0,04;0,24;2,64;0,01;0,16;0,03;0,01;;0,01;;0,18;0,03
527;Alimentos preparados;Baião de dois, arroz e feijão-de-corda;0,6;1,0;1,5;;Tr;0,42;0,13;0,01;0,01;Tr;;0,02;0,95;Tr;1,36;0,13;Tr;Tr;;Tr;;0,01
528;Alimentos preparados;Barreado;3,3;4,3;1,4;;0,12;2,05;1,11;Tr;;;;0,20;3,96;0,05;1,24;0,06;0,05;Tr;0,02;;0,06;
529;Alimentos preparados;Bife à cavalo, com contra filé;7,9;8,2;3,3;;0,38;4,59;2,63;0,03;0,03;;0,10;0,57;7,32;0,05;2,88;0,26;0,07;;0,02;0,02;0,40;
530;Alimentos preparados;Bolinho de arroz;1,8;2,5;3,5;;0,02;1,26;0,44;0,02;0,03;0,02;;0,05;2,39;0,05;3,22;0,24;0,04;;Tr;Tr;Tr;0,06
531;Alimentos preparados;Camarão à baiana;1,6;0,9;1,5;1,35;0,62;0,72;0,27;0,02;0,02;;;0,01;0,89;;1,33;0,13;0,01;0,03;;0,03;;
532;Alimentos preparados;Charuto, de repolho;0,5;0,5;0,1;;0,02;0,24;0,20;;;;;0,03;0,44;;0,08;0,02;;;;;0,03;
533;Alimentos preparados;Cuscuz, de milho, cozido com sal;0,2;0,2;0,3;;;0,15;0,02;Tr;;;; ;0,22;;0,26;Tr;;;;;;
534;Alimentos preparados;Cuscuz, paulista;1,8;1,8;0,8;0,03;0,15;1,12;0,41;0,01;0,02;0,01;0,01;0,07;1,64;;0,69;0,10;Tr;;;;0,04;Tr
535;Alimentos preparados;Cuxá, molho;0,6;1,3;1,5;;0,00;0,37;0,18;0,02;0,01;0,00;;0,01;1,25;0,01;1,44;0,06;Tr;0,02;;0,02;;0,02
536;Alimentos preparados;Dobradinha;2,5;1,2;0,1;Tr;0,11;1,06;1,19;0,02;0,02;0,01;Tr;0,09;1,11;Tr;0,07;0,01;0,03;;0,02;;0,18;0,02
537;Alimentos preparados;Estrogonofe de carne;5,3;3,3;0,9;0,12;0,65;2,81;1,57;0,02;0,02;;0,04;0,19;3,00;0,02;0,74;0,08;0,02;;0,01;;0,26;0,01
538;Alimentos preparados;Estrogonofe de frango;3,7;2,2;1,0;0,12;0,54;2,09;0,93;0,02;0,01;Tr;0,03;0,10;2,05;0,02;0,91;0,07;0,04;;Tr;;0,19;0,01
539;Alimentos preparados;Feijão tropeiro mineiro;2,2;2,9;1,5;;0,06;1,39;0,67;;;;;0,13;2,69;0,04;1,25;0,19;0,05;;;;;
540;Alimentos preparados;Feijoada;1,9;2,6;1,6;;0,07;1,25;0,58;;;;;0,13;2,41;0,04;1,35;0,18;0,02;;;;;
541;Alimentos preparados;Frango, com açafrão;1,6;2,5;1,8;;0,03;1,24;0,34;Tr;Tr;;Tr;0,26;2,23;0,02;1,57;0,11;0,03;;Tr;;0,01;
542;Alimentos preparados;Macarrão, molho bolognesa;0,3;0,3;0,3;;Tr;0,21;0,07;Tr;Tr;;;0,01;0,25;Tr;0,28;0,01;;Tr;;;Tr;Tr
543;Alimentos preparados;Maniçoba;2,9;3,7;1,7;;0,08;1,73;1,01;0,02;0,01;;;0,16;3,42;0,08;1,41;0,16;0,04;;;;0,04;
544;Alimentos preparados;Quibebe;1,0;1,1;0,2;;0,08;0,61;0,32;Tr;;Tr;0,03;0,11;0,95;Tr;0,18;0,06;Tr;Tr;Tr;;0,06;Tr
545;Alimentos preparados;Salada, de legumes, com maionese;1,1;1,8;3,8;;;0,79;0,26;0,02;0,03;Tr;;Tr;1,75;0,02;3,46;0,36;;;;;;0,01
546;Alimentos preparados;Salada, de legumes, cozida no vapor;0,1;Tr;0,2;;;0,05;0,01;Tr;;;;Tr;0,02;;0,07;0,08;;;;;;
547;Alimentos preparados;Salpicão, de frango;1,3;2,1;4,0;;Tr;0,93;0,34;0,02;0,04;0,02;;0,04;2,02;0,02;3,60;0,36;0,04;;;;;0,02
548;Alimentos preparados;Sarapatel;1,4;1,1;0,7;;0,02;0,76;0,56;0,02;0,01;0,02;;0,03;1,04;0,01;0,61;0,03;0,04;Tr;;;Tr;
549;Alimentos preparados;Tabule;0,2;0,8;0,2;;;0,18;0,03;;;;;0,01;0,82;;0,20;0,03;;;;;;
550;Alimentos preparados;Tacacá;0,2;0,1;Tr;;0,00;0,10;0,05;0,00;0,01;;;0,01;0,12;Tr;0,03;;;;;;;
551;Alimentos preparados;Tapioca, com manteiga;6,0;3,0;0,2;0,25;1,08;3,38;1,38;0,02;;;0,08;0,18;2,64;0,02;0,17;0,02;;;;;0,30;0,03
552;Alimentos preparados;Tucupi, com pimenta-de-cheiro;0,1;0,1;Tr;;;0,06;Tr;;Tr;;;;0,15;Tr;0,04;Tr;;;;;;
553;Alimentos preparados;Vaca atolada;4,1;3,2;1,2;;0,29;2,10;1,57;0,02;Tr;;0,04;0,21;2,81;0,02;1,11;0,12;;;;;0,21;
