Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

470;Bebidas (alcoólicas e não alcoólicas);Bebida isotônica, sabores variados;93,5;26;107;0;0;NA;6,4;NA;0,1;1;Tr;Tr;9;0,7;44;13;Tr;Tr;NA;;;;;;;
471;Bebidas (alcoólicas e não alcoólicas);Café, infusão 10%;97,4;9;38;0,7;0,1;NA;1,5;NA;0,4;3;10;0,04;9;Tr;1;156;0,01;Tr;NA;;;;;;;
472;Bebidas (alcoólicas e não alcoólicas);Cana, aguardente 1;;216;902;;;NA;;NA;;Tr;Tr;Tr;Tr;Tr;3;Tr;0,06;Tr;NA;;;Tr;Tr;Tr;Tr;
473;Bebidas (alcoólicas e não alcoólicas);Cana, caldo de;81,7;65;273;Tr;Tr;NA;18,2;0,1;0,1;9;12;0,21;5;0,8;Tr;18;0,01;0,1;NA;;;Tr;Tr;0,03;Tr;2,8
474;Bebidas (alcoólicas e não alcoólicas);Cerveja, pilsen 2;92,4;41;170;0,6;Tr;NA;3,3;NA;0,1;5;7;0,01;19;Tr;4;29;Tr;Tr;NA;;;Tr;Tr;0,14;2,92;Tr
475;Bebidas (alcoólicas e não alcoólicas);Chá, erva-doce, infusão 5%;99,6;1;6;0;0;NA;0,4;NA;0;2;1;0,01;1;Tr;1;10;0,01;Tr;NA;;;1,23;0,23; ; ; 
476;Bebidas (alcoólicas e não alcoólicas);Chá, mate, infusão 5%;99,3;3;11;0;0,1;NA;0,6;NA;0;1;2;0,27;Tr;Tr;Tr;5;Tr;Tr;NA;;;0,89;Tr; ; ; 
477;Bebidas (alcoólicas e não alcoólicas);Chá, preto, infusão 5%;99,4;2;9;0;0;NA;0,6;NA;0;0;1;0,09;2;Tr;Tr;13;Tr;Tr;NA;;;3,11;0,48; ; ; 
478;Bebidas (alcoólicas e não alcoólicas);Coco, água de;94,3;22;90;0;0;NA;5,3;0,1;0,5;19;5;0,25;4;Tr;2;162;Tr;Tr;NA;;;0,01;Tr;Tr;Tr;2,4
479;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo água tônica;92;31;129;0;0;NA;8;NA;0;1;Tr;Tr;0;Tr;8;2;Tr;Tr;NA;;;;;;;
480;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo cola;91,3;34;140;0;0;NA;8,7;NA;0,1;1;Tr;Tr;17;Tr;7;1;Tr;Tr;NA;;;;;;;
481;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo guaraná;90;39;162;0;0;NA;10;NA;0;1;Tr;Tr;Tr;Tr;9;1;Tr;Tr;NA;;;;;;;
482;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo laranja;88,2;46;191;0;0;NA;11,8;NA;0;2;1;Tr;1;Tr;9;16;Tr;Tr;NA;;;;;;;
483;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo limão;89,7;40;166;0;0;NA;10,3;NA;0;2;1;Tr;Tr;Tr;9;4;Tr;Tr;NA;;;;;;;
