Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

511;Miscelâneas;Café, pó, torrado;2,9;419;1752;14,7;11,9;NA;65,8;51,2;4,7;107;165;2,58;169;8,1;1;1609;1,3;0,5;NA;;;Tr;Tr;Tr;11,89;Tr
512;Miscelâneas;Capuccino, pó;2,6;417;1746;11,3;8,6;29;73,6;2,4;3,8;467;71;0,17;358;2,3;382;886;Tr;1,1;52;;;Tr;1,41;Tr;Tr;Tr
513;Miscelâneas;Fermento em pó, químico;7,1;90;375;0,5;0,1;NA;43,9;NA;48,5; ; ; ; ; ;10052; ; ; ;NA;;; ; ; ; ; 
514;Miscelâneas;Fermento, biológico, levedura, tablete;71,9;90;376;17;1,5;NA;7,7;4,2;1,9;18;38;0,2;419;2,6;40;576;0,29;11;NA;;;0,3;0,36;Tr;Tr;Tr
515;Miscelâneas;Gelatina, sabores variados, pó;1,2;380;1591;8,9;Tr;NA;89,2;NA;0,6;27;2;0,03;2;0,3;235;7;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;40
516;Miscelâneas;Sal, dietético;0,6;NA;NA;NA;NA;NA;NA;NA;99,4;;;;;;23432;20468;;;NA;;;;;;;
517;Miscelâneas;Sal, grosso;0,4;NA;NA;NA;NA;NA;NA;NA;;;;;;;39943;;;;NA;;;;;;;
518;Miscelâneas;Shoyu;70,6;61;255;3,3;0,3;NA;11,6;NA;14,1;15;24;0,07;47;0,5;5024;165;Tr;0,2;NA;;;0,83;0,06;0,15;2,1;Tr
519;Miscelâneas;Tempero a base de sal;7,7;21;89;2,7;0,3;NA;2,1;0,6;87,3;;;;;;32560;;;;NA;;;;;;;
