Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

273;Pescados e frutos do mar;Abadejo, filé, congelado, assado;74,3;112;467;23,5;1,2;103;0;NA;1,6;23;20;Tr;338;0,5;334;156;0,03;0,5;Tr;Tr;Tr;Tr;Tr;Tr;0,44;
274;Pescados e frutos do mar;Abadejo, filé, congelado,cozido;79,7;91;381;19,3;0,9;87;0;NA;0,9;17;16;Tr;351;0,3;189;146;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;Tr;
275;Pescados e frutos do mar;Abadejo, filé, congelado, cru;86,4;59;247;13,1;0,4;31;0;NA;0,6;10;14;0,01;91;0,1;79;148;0,14;0,4;Tr;Tr;Tr;0,04;Tr;Tr;4,6;
276;Pescados e frutos do mar;Abadejo, filé, congelado, grelhado;71;130;542;27,6;1,3;136;0;NA;1,6;20;22;Tr;581;0,3;305;279;Tr;0,4;6;6;6;0,03;Tr;Tr;0,44;
277;Pescados e frutos do mar;Atum, conserva em óleo;64,5;166;694;26,2;6;53;0;NA;1,5;7;29;Tr;211;1,2;362;280;0,04;0,6;Tr;Tr;Tr;0,15;0,03;Tr;3,17;
278;Pescados e frutos do mar;Atum, fresco, cru;73,1;118;492;25,7;0,9;48;0;NA;1,3;7;32;Tr;254;1,3;30;308;0,09;0,4;20;20;20;Tr;0,04;Tr;5,94;
279;Pescados e frutos do mar;Bacalhau, salgado, cru;47,9;136;569;29;1,3;139;0;NA;22,5;157;49;0,03;186;0,9;13585;434;0,09;0,7;Tr;Tr;Tr;Tr;0,21;Tr;*;
280;Pescados e frutos do mar;Bacalhau, salgado, refogado;65,9;140;584;24;3,6;112;1,2;*;5,3;59;15;Tr;51;0,2;1256;50;0,04;0,6;Tr;Tr;Tr;0,03;0,05;Tr;5,17;Tr
281;Pescados e frutos do mar;Cação, posta, com farinha de trigo, frita;60,6;208;872;25;10;75;3,1;0,5;1,4;30;26;0,06;462;1;160;420;Tr;0,6;17;17;17;Tr;Tr;Tr;0,77;
282;Pescados e frutos do mar;Cação, posta, cozida;75,9;116;485;25,6;0,7;83;0;NA;1,2;10;21;Tr;204;0,3;115;249;0,03;0,6;12;12;12;Tr;0,04;Tr;9,77;
283;Pescados e frutos do mar;Cação, posta, crua;81,4;83;349;17,9;0,8;36;0;NA;1,2;9;19;0,04;181;0,2;176;299;0,13;0,3;6;6;6;0,04;Tr;Tr;1,31;
284;Pescados e frutos do mar;Camarão, Rio Grande, grande, cozido;78,7;90;377;19;1;241;0;NA;1,7;90;19;0,06;266;1,3;367;102;0,17;1,2;Tr;Tr;Tr;Tr;Tr;Tr;1,07;
285;Pescados e frutos do mar;Camarão, Rio Grande, grande, cru;89,1;47;197;10;0,5;124;0;NA;0,8;51;27;0,04;234;0,7;201;72;0,11;0,7;20;20;20;Tr;Tr;Tr;Tr;
