Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

525;Alimentos preparados;Acarajé;50,5;289;1210;8,3;19,9;25;19,1;9,4;2,1;124;51;0,59;142;1,9;305;354;0,23;1,2;Tr;;;0,06;Tr;Tr;Tr; 
526;Alimentos preparados;Arroz carreteiro;68;154;643;10,8;7,1;36;11,6;1,5;2,4;13;9;0,18;48;1;1622;87;0,08;2,7;Tr;;;0,03;Tr;0,07;1,6; 
527;Alimentos preparados;Baião de dois, arroz e feijão-de-corda;69,1;136;568;6,2;3,2;4;20,4;5,1;1,1;33;19;0,27;72;0,6;93;157;0,08;0,6;Tr;;;0,04;Tr;0,04;Tr;Tr
528;Alimentos preparados;Barreado;71,2;165;690;18,3;9,5;60;0,2;0,1;0,8;15;21;0,05;169;2,4;48;295;0,17;4,8;Tr;;;0,03;0,04;Tr;2,09;Tr
529;Alimentos preparados;Bife à cavalo, com contra filé;54,2;291;1219;23,7;21,1;257;0;NA;1,1;26;19;0,02;216;2,1;83;272;0,06;3,2;37;;;0,05;0,1;Tr;2,92;
530;Alimentos preparados;Bolinho de arroz;41,5;274;1144;8;8,3;70;41,7;2,7;0,5;24;13;0,42;87;2,1;59;96;0,13;0,9;Tr;;;0,08;0,05;Tr;Tr;Tr
531;Alimentos preparados;Camarão à baiana;82;101;422;7,9;6;117;3,2;0,4;0,9;43;15;0,11;244;1,4;85;139;0,07;0,5;Tr;;;Tr;Tr;Tr;0,31;4,1
532;Alimentos preparados;Charuto, de repolho;81,5;78;327;6,8;1,1;21;10,1;1,5;0,4;23;13;0,22;68;0,9;12;184;1,45;1,8;Tr;;;0,03;Tr;Tr;0,32;4,8
533;Alimentos preparados;Cuscuz, de milho, cozido com sal;71,1;113;475;2,2;0,7;NA;25,3;2,1;0,7;2;3;0,02;23;0,2;248;11;Tr;0,2;Tr;;;Tr;Tr;0,06;Tr;Tr
534;Alimentos preparados;Cuscuz, paulista;68,9;142;595;2,6;4,6;15;22,5;2,4;1,3;14;5;0,06;26;0,3;236;53;0,05;0,2;Tr;;;Tr;Tr;Tr;0,93;Tr
